ProvID,ProveNameT,ProveNameE,ProvCode,ZoneCode,ProveNameOther
1,-,-,NULL,NULL,NULL
2,เเพร่,เเพร่,NULL,NULL,NULL
3,เชียงใหม่,เชียงใหม่,NULL,NULL,NULL
4,เชียงราย,เชียงราย,NULL,NULL,NULL
5,เพชรบูรณ์,เพชรบูรณ์,NULL,NULL,NULL
6,เลย,เลย,NULL,NULL,NULL
7,แพร่,แพร่,NULL,NULL,NULL
8,กรุงเทพ,กรุงเทพ,NULL,NULL,NULL
9,กรุงเทพ ฯ,กรุงเทพ ฯ,NULL,NULL,NULL
10,กรุงเทพมหานคร,กรุงเทพมหานคร,NULL,NULL,NULL
11,กาญจนบุรี,กาญจนบุรี,NULL,NULL,NULL
12,กาฬสินธุ์,กาฬสินธุ์,NULL,NULL,NULL
13,กำแพงเพชร,กำแพงเพชร,NULL,NULL,NULL
14,กำแพงเพรช,กำแพงเพรช,NULL,NULL,NULL
15,ขอนเเก่น,ขอนเเก่น,NULL,NULL,NULL
16,ขอนแก่น,ขอนแก่น,NULL,NULL,NULL
17,จ.ชลบุรี,จ.ชลบุรี,NULL,NULL,NULL
18,จันทบุรี,จันทบุรี,NULL,NULL,NULL
19,ฉะเชิงเทรา,ฉะเชิงเทรา,NULL,NULL,NULL
20,ชลบุร,ชลบุร,NULL,NULL,NULL
21,ชลบุรี,ชลบุรี,NULL,NULL,NULL
22,ชลบุรี่,ชลบุรี่,NULL,NULL,NULL
23,ชัยนาท,ชัยนาท,NULL,NULL,NULL
24,ชัยภูมิ,ชัยภูมิ,NULL,NULL,NULL
25,ตราด,ตราด,NULL,NULL,NULL
26,ตาก,ตาก,NULL,NULL,NULL
27,นครนายก,นครนายก,NULL,NULL,NULL
28,นครพนม,นครพนม,NULL,NULL,NULL
29,นครราชศรีมา,นครราชศรีมา,NULL,NULL,NULL
30,นครราชสีมา,นครราชสีมา,NULL,NULL,NULL
31,นครสวรรค์,นครสวรรค์,NULL,NULL,NULL
32,นนทบุรี,นนทบุรี,NULL,NULL,NULL
33,น่าน,น่าน,NULL,NULL,NULL
34,บึงกาฬ,บึงกาฬ,NULL,NULL,NULL
35,บุรีย์รัมย์,บุรีย์รัมย์,NULL,NULL,NULL
36,บุรีรัมย์,บุรีรัมย์,NULL,NULL,NULL
37,ปทุมธานี,ปทุมธานี,NULL,NULL,NULL
38,ปธุมธานี,ปธุมธานี,NULL,NULL,NULL
39,ปราจีนบุรี,ปราจีนบุรี,NULL,NULL,NULL
40,พระนครศรีอยุธยา,พระนครศรีอยุธยา,NULL,NULL,NULL
41,พะเยา,พะเยา,NULL,NULL,NULL
42,พิจิตร,พิจิตร,NULL,NULL,NULL
43,พิษณุโลก,พิษณุโลก,NULL,NULL,NULL
44,พิษณูโลก,พิษณูโลก,NULL,NULL,NULL
45,มหาสารคาม,มหาสารคาม,NULL,NULL,NULL
46,มุกดาหาร,มุกดาหาร,NULL,NULL,NULL
47,ยโสธร,ยโสธร,NULL,NULL,NULL
48,ร้อยเอ็ด,ร้อยเอ็ด,NULL,NULL,NULL
49,ระยอง,ระยอง,NULL,NULL,NULL
50,ราชบุรี,ราชบุรี,NULL,NULL,NULL
51,ลพบุรี,ลพบุรี,NULL,NULL,NULL
52,ลำปาง,ลำปาง,NULL,NULL,NULL
53,ลำพูน,ลำพูน,NULL,NULL,NULL
54,ศรีสระเกษ,ศรีสระเกษ,NULL,NULL,NULL
55,ศรีสะเกษ,ศรีสะเกษ,NULL,NULL,NULL
56,สกลนคร,สกลนคร,NULL,NULL,NULL
57,สงขลา,สงขลา,NULL,NULL,NULL
58,สมุทรปราการ,สมุทรปราการ,NULL,NULL,NULL
59,สมุทรสาคร,สมุทรสาคร,NULL,NULL,NULL
60,สระแก้ว,สระแก้ว,NULL,NULL,NULL
61,สระบุรี,สระบุรี,NULL,NULL,NULL
62,สิงห์บุรี,สิงห์บุรี,NULL,NULL,NULL
63,สุโขทัย,สุโขทัย,NULL,NULL,NULL
64,สุพรรณบุรี,สุพรรณบุรี,NULL,NULL,NULL
65,สุราษฎ์ธานี,สุราษฎ์ธานี,NULL,NULL,NULL
66,สุรินทร์,สุรินทร์,NULL,NULL,NULL
67,หนองคาย,หนองคาย,NULL,NULL,NULL
68,หนองบัวลำภู,หนองบัวลำภู,NULL,NULL,NULL
69,อยุธยา,อยุธยา,NULL,NULL,NULL
70,อำนาจเจริญ,อำนาจเจริญ,NULL,NULL,NULL
71,อุดรธาณี,อุดรธาณี,NULL,NULL,NULL
72,อุดรธานี,อุดรธานี,NULL,NULL,NULL
73,อุตรดิตถ์,อุตรดิตถ์,NULL,NULL,NULL
74,อุทัยธานี,อุทัยธานี,NULL,NULL,NULL
75,อุบลราชธานี,อุบลราชธานี,NULL,NULL,NULL
76,อุลราชธานี,อุลราชธานี,NULL,NULL,NULL
77,ตรัง,ตรัง,NULL,NULL,NULL
78,อ่างทอง,อ่างทอง,NULL,NULL,NULL
79,นครราชสีมา,นครราชสีมา,NULL,NULL,NULL
